0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3.79E-13,1.65E-11,0.664763056,5.68E-14,4.65E-12,0.009173225,0.016088694,0.049232965,0.010942388,0.025525651,0.000222371,0.025797374,0.028221916,0.025788988,0.075602755,1.03E-11,0.014365533,0.000442208,0.053817837,1.50E-05
3.57E-13,1.54E-11,0.661074447,5.10E-14,4.65E-12,0.009192669,0.016063663,0.049847053,0.010126896,0.026359082,0.000197638,0.026225609,0.028866862,0.026158111,0.076954651,9.92E-12,0.015263175,0.000431453,0.053224004,1.47E-05
3.61E-13,1.55E-11,0.657248549,5.24E-14,4.78E-12,0.008692602,0.015459667,0.05101185,0.010231347,0.026691146,0.000198988,0.026161876,0.028514726,0.026356607,0.07824973,1.00E-11,0.01529482,0.000423835,0.055449156,1.51E-05
3.52E-13,1.63E-11,0.660303201,4.93E-14,4.93E-12,0.008267047,0.01093685,0.051880337,0.010289675,0.027445948,0.000203097,0.026587165,0.02884647,0.027179071,0.079467131,1.00E-11,0.015584245,0.000430013,0.052564974,1.48E-05
3.53E-13,1.63E-11,0.654266561,4.81E-14,4.82E-12,0.007736945,0.015260717,0.052491852,0.010289514,0.02762262,0.000203083,0.026549213,0.028735572,0.027281726,0.080323465,1.00E-11,0.015461837,0.000441561,0.0533206,1.47E-05
3.92E-13,1.71E-11,0.651575292,5.58E-14,5.12E-12,0.006417437,0.014294801,0.054893519,0.010924586,0.026802634,0.000208842,0.027354688,0.029570713,0.027933522,0.081235605,1.03E-11,0.016402878,0.000479964,0.051890173,1.53E-05
3.76E-13,1.63E-11,0.655623391,5.63E-14,4.94E-12,0.006284427,0.012198105,0.054793395,0.010842407,0.02693683,0.000210143,0.026967962,0.029006517,0.027571721,0.081830487,8.13E-12,0.016616343,0.00057297,0.05053067,1.46E-05
3.81E-13,1.66E-11,0.660032156,5.75E-14,5.04E-12,0.00706753,0.009214112,0.053114028,0.010920038,0.027106981,0.000211777,0.027247078,0.029349726,0.027818336,0.079574554,7.71E-12,0.016730265,0.000536775,0.051062111,1.45E-05
3.86E-13,1.66E-11,0.661778972,5.90E-14,5.06E-12,0.006787421,0.004890541,0.053674805,0.011176115,0.027419378,0.000217864,0.028427764,0.030525362,0.028966792,0.075538725,7.84E-12,0.017266096,0.000527356,0.052787717,1.51E-05
3.44E-13,1.42E-11,0.650194133,6.07E-14,4.88E-12,0.007783218,0.003390242,0.052600618,0.011562836,0.030707551,0.000221373,0.0306508,0.033350445,0.031589339,0.076559281,7.66E-12,0.017265813,0.000537252,0.053570941,1.62E-05
